route_id,route_short_name,shift,n_trips,n_stop_events,demand_level,allocated_buses
104,104,afternoon,5,49,normal,2
104,104,morning,6,66,busy,3
104,104,other,5,39,normal,2
107-C D14G-SBS,107-C,afternoon,6,63,busy,3
107-C D14G-SBS,107-C,morning,4,41,normal,1
111,111,afternoon,38,706,busy,14
111,111,morning,50,1087,busy,18
111,111,other,25,530,busy,9
111 CMS-KBR,111 CMS-KBR,morning,2,34,normal,1
111-C,111-C,afternoon,37,724,busy,13
111-C,111-C,morning,34,709,busy,12
111-C,111-C,other,31,635,busy,11
112,112,afternoon,56,953,busy,20
112,112,morning,52,935,busy,18
112,112,other,26,472,busy,10
112 CMS-KBR,112 CMS-KBR,morning,4,80,busy,2
112-A,112-A,afternoon,25,301,busy,9
112-A,112-A,morning,24,300,busy,9
112-A,112-A,other,13,153,busy,5
112-A SBS-MDG,112-A,afternoon,2,18,free,1
112-A SBS-MDG,112-A,other,1,8,free,1
112A MDG-SBS,112A MDG-SBS,morning,1,12,free,1
114,114,afternoon,34,715,busy,12
114,114,morning,29,632,busy,11
114,114,other,13,297,busy,5
114-A,114-A,afternoon,20,385,busy,8
114-A,114-A,morning,24,457,busy,9
114-A,114-A,other,1,1,free,1
114-B,114-B,afternoon,21,373,busy,8
114-B,114-B,morning,18,358,busy,7
114-B,114-B,other,8,151,busy,4
114-C,114-C,afternoon,46,816,busy,16
114-C,114-C,morning,52,1001,busy,18
114-C,114-C,other,36,677,busy,13
114-G,114-G,afternoon,7,149,busy,3
114-G,114-G,morning,3,57,normal,1
114-G,114-G,other,2,39,normal,1
119,119,afternoon,4,31,normal,1
119,119,morning,4,39,normal,1
119,119,other,2,16,free,1
119-B,119-B,afternoon,7,116,busy,3
119-B,119-B,morning,1,17,free,1
119-B,119-B,other,1,3,free,1
12,12,afternoon,53,726,busy,19
12,12,morning,37,522,busy,13
12,12,other,30,430,busy,11
12-B,12-B,morning,2,44,normal,1
121-BA,121-BA,afternoon,5,83,busy,3
121-BA,121-BA,morning,3,48,normal,1
121-BA,121-BA,other,1,21,free,1
121-BA SBS-KMTFLY-CLO,121-BA,afternoon,1,15,free,1
121-BA SBS-KMTFLY-CLO,121-BA,morning,2,36,normal,1
121-BA SBS-KMTFLY-CLO,121-BA,other,5,80,busy,3
121-BA SBS-KMTFLY-VJN,121-BA,morning,1,17,free,1
122,122,afternoon,2,23,free,1
122,122,morning,1,16,free,1
122,122,other,1,11,free,1
123,123,morning,1,16,free,1
126,126,afternoon,3,39,normal,1
126,126,morning,4,64,busy,2
126,126,other,4,57,normal,1
127,127,afternoon,3,26,free,1
127,127,morning,9,102,busy,4
127,127,other,3,33,normal,1
129,129,afternoon,38,233,busy,14
129,129,morning,23,155,busy,9
129,129,other,17,116,busy,7
129 KBS-CMS,129 KBS-CMS,other,2,16,free,1
12F-5,12F-5,afternoon,1,31,normal,1
12F-5,12F-5,morning,3,106,busy,2
13,13,afternoon,69,1268,busy,24
13,13,morning,64,1244,busy,22
13,13,other,41,724,busy,15
13 MDP-BSK,13 MDP-BSK,afternoon,1,8,free,1
13 PPLO-SBS,13 PPLO-SBS,morning,1,33,normal,1
13 PPLO-SBS,13 PPLO-SBS,other,2,62,busy,2
13 SBS-BCGHS,13 SBS-BCGHS,afternoon,1,7,free,1
13 SBS-SJBHS,13 SBS-SJBHS,afternoon,5,35,normal,2
13 SGH-BSK,13 SGH-BSK,afternoon,42,349,busy,15
13 SGH-BSK,13 SGH-BSK,morning,32,257,busy,12
13 SGH-BSK,13 SGH-BSK,other,32,285,busy,12
13 SJHS-SBS,13 SJHS-SBS,morning,1,6,free,1
13 SNBS-BGRD,13 SNBS-BGRD,afternoon,20,92,busy,8
13 SNBS-BGRD,13 SNBS-BGRD,morning,11,54,normal,4
13 SNBS-BGRD,13 SNBS-BGRD,other,7,28,free,1
13-A,13-A,afternoon,9,225,busy,4
13-A,13-A,morning,11,275,busy,5
13-A,13-A,other,7,196,busy,3
13-B,13-B,afternoon,10,248,busy,4
13-B,13-B,morning,11,285,busy,5
13-B,13-B,other,2,54,normal,1
13-C,13-C,afternoon,16,361,busy,6
13-C,13-C,morning,16,399,busy,6
13-C,13-C,other,7,164,busy,3
13-E,13-E,afternoon,4,113,busy,2
13-E,13-E,morning,5,151,busy,3
13-E,13-E,other,1,7,free,1
13-F,13-F,afternoon,1,7,free,1
13-F,13-F,morning,1,33,normal,1
13-F,13-F,other,1,22,free,1
13-H,13-H,afternoon,4,108,busy,2
13-H,13-H,morning,3,96,busy,2
13-H,13-H,other,2,68,busy,2
13-J,13-J,afternoon,4,130,busy,2
13-J,13-J,morning,2,68,busy,2
13-J,13-J,other,1,6,free,1
13-K,13-K,afternoon,4,99,busy,2
13-K,13-K,morning,2,57,normal,1
13-K,13-K,other,1,15,free,1
13-S,13-S,morning,2,83,busy,2
132,132,afternoon,1,17,free,1
136,136,afternoon,3,25,free,1
136,136,morning,6,48,normal,2
138,138,afternoon,19,304,busy,7
138,138,morning,13,223,busy,5
138,138,other,8,137,busy,4
138 D6G-JBN,138 D6G-JBN,afternoon,1,8,free,1
138 D6G-JBN,138 D6G-JBN,morning,1,8,free,1
138 D6G-JBN,138 D6G-JBN,other,4,32,normal,1
138 D6G-KVASC,138,afternoon,1,6,free,1
138 KBS-VSD-JBN,138,morning,2,44,normal,1
139,139,afternoon,15,225,busy,6
139,139,morning,15,213,busy,6
139,139,other,6,90,busy,3
139 D6G-HLS-JBN,139,morning,2,22,free,1
139 SBS-KFC-D6G,139,afternoon,1,14,free,1
139 SBS-KFC-D6G,139,morning,1,14,free,1
139 SBS-KFC-D6G,139,other,5,70,busy,3
139-JBN-SBS-VSD,139-JBN-SBS-VSD,afternoon,1,4,free,1
139-JBN-SBS-VSD,139-JBN-SBS-VSD,other,1,13,free,1
139-MRS-SBS,139-MRS-SBS,afternoon,1,15,free,1
140-A,140-A,morning,1,17,free,1
140-E,140-E,afternoon,16,264,busy,6
140-E,140-E,morning,14,239,busy,6
140-E,140-E,other,9,146,busy,4
141-E SBS-KRM,141-E,afternoon,2,36,normal,1
141-E SBS-KRM,141-E,morning,1,17,free,1
141-K,141-K,afternoon,7,102,busy,3
141-K,141-K,morning,4,72,busy,2
141-K,141-K,other,1,16,free,1
143,143,afternoon,73,764,busy,25
143,143,morning,64,706,busy,22
143,143,other,32,321,busy,12
143 KMT-NSR-KRM,143,afternoon,2,19,free,1
143 KMT-NSR-KRM,143,morning,5,80,busy,3
143 KMT-NSR-KRM,143,other,4,73,busy,2
143 KRM-NRG-CMP,143,morning,1,8,free,1
143-A,143-A,afternoon,4,68,busy,2
143-A,143-A,morning,6,91,busy,3
143-A,143-A,other,3,51,normal,1
143-E NTVB5-KMT,143-E,afternoon,1,14,free,1
144,144,afternoon,4,27,free,1
144,144,morning,6,56,normal,2
144,144,other,7,65,busy,3
144-E,144-E,afternoon,83,758,busy,29
144-E,144-E,morning,54,507,busy,19
144-E,144-E,other,26,217,busy,10
144-E D6G-KFC-NRG,144-E,afternoon,1,15,free,1
144-E D6G-KFC-NRG,144-E,other,2,30,free,1
144-E SBS-NLS-VVK,144-E,afternoon,2,16,free,1
144-E SBS-NLS-VVK,144-E,morning,2,17,free,1
144-E SBS-NRG-D15,144-E,afternoon,9,133,busy,4
144-E SBS-NRG-D15,144-E,morning,7,91,busy,3
144-E SBS-NRG-D15,144-E,other,6,96,busy,3
144-E SNBS-SPHS,144-E,afternoon,1,9,free,1
144-G,144-G,afternoon,1,25,free,1
144-G,144-G,morning,4,104,busy,2
144-G ARMPS-NRG,144-G,afternoon,1,9,free,1
144-G ARMPS-NRG,144-G,morning,1,10,free,1
144-G GPTE-NRG,144-G,afternoon,1,8,free,1
144-G KRM-STP,144-G,afternoon,1,32,normal,1
144-K,144-K,afternoon,6,138,busy,3
144-K,144-K,morning,7,141,busy,3
146,146,afternoon,4,55,normal,1
146,146,morning,3,49,normal,1
146,146,other,1,9,free,1
146-F,146-F,afternoon,1,19,free,1
15-A,15-A,afternoon,27,361,busy,10
15-A,15-A,morning,19,252,busy,7
15-A,15-A,other,11,142,busy,5
15-E,15-E,afternoon,22,423,busy,8
15-E,15-E,morning,27,517,busy,10
15-E,15-E,other,10,182,busy,4
15-E KBS-PPLO,15-E,morning,1,31,normal,1
15-E KBS-PPLO,15-E,other,1,33,normal,1
15-E VSD-KSLO,15-E,afternoon,1,6,free,1
15-E VSD-KSLO,15-E,morning,1,20,free,1
15-E VSD-KSLO,15-E,other,1,15,free,1
15-G,15-G,afternoon,18,320,busy,7
15-G,15-G,morning,22,464,busy,8
15-G,15-G,other,16,318,busy,6
150,150,afternoon,29,206,busy,11
150,150,morning,25,184,busy,9
150,150,other,20,142,busy,8
154,154,afternoon,9,80,busy,4
154,154,morning,14,145,busy,6
154,154,other,9,90,busy,4
155,155,afternoon,57,685,busy,20
155,155,morning,40,489,busy,14
155,155,other,18,203,busy,7
15E-KMT-BSK,15E-KMT-BSK,other,2,20,free,1
161-B,161-B,afternoon,3,52,normal,1
161-B,161-B,morning,3,60,busy,2
161-B,161-B,other,3,48,normal,1
161-D SBS-BTMS,161-D,morning,1,21,free,1
163-C,163-C,afternoon,6,56,normal,2
163-C,163-C,morning,11,111,busy,5
163-C,163-C,other,4,34,normal,1
163-C SBS-ILC,163-C,other,1,13,free,1
168-D KBS-KVN,168-D,afternoon,5,81,busy,3
168-D KBS-KVN,168-D,morning,3,58,normal,1
168-D KBS-SJWA,168-D,afternoon,1,14,free,1
168-E,168-E,afternoon,3,56,normal,1
168-E,168-E,morning,3,58,normal,1
168-E KBS-VSD-JBN,168-E,morning,1,22,free,1
170,170,afternoon,11,232,busy,5
170,170,morning,9,169,busy,4
170,170,other,1,5,free,1
171,171,afternoon,28,637,busy,10
171,171,morning,16,391,busy,6
171,171,other,4,67,busy,2
171 KBS-NGV-KRMTTCMC,171,morning,1,22,free,1
171 KBS-SNCA,171 KBS-SNCA,afternoon,1,26,free,1
171 KBS-SNCA,171 KBS-SNCA,morning,1,31,normal,1
171-G,171-G,afternoon,59,1235,busy,21
171-G,171-G,morning,58,1285,busy,20
171-G,171-G,other,35,699,busy,13
176,176,afternoon,71,2143,busy,25
176,176,morning,87,3017,busy,30
176,176,other,55,1737,busy,19
176 CLO-KVB,176 CLO-KVB,afternoon,2,42,normal,1
176 CLO-KVB,176 CLO-KVB,other,1,34,normal,1
176 HPN-RGH,176 HPN-RGH,afternoon,1,27,free,1
176-E,176-E,afternoon,3,94,busy,2
176-E,176-E,morning,3,90,busy,2
18,18,afternoon,14,207,busy,6
18,18,morning,12,189,busy,5
18,18,other,5,80,busy,3
180-A,180-A,afternoon,13,324,busy,5
180-A,180-A,morning,16,478,busy,6
180-A,180-A,other,9,254,busy,4
195,195,afternoon,4,88,busy,2
195,195,morning,3,65,busy,2
195 SBS-CLO-MDPC,195,afternoon,2,47,normal,1
195 SBS-CLO-MDPC,195,morning,3,103,busy,2
195 SBS-CLO-MDPC,195,other,1,21,free,1
2 KBS-JPMS-BSK,2,morning,1,22,free,1
2-A,2-A,afternoon,3,50,normal,1
2-A,2-A,morning,2,30,free,1
2-E,2-E,afternoon,3,58,normal,1
2-E,2-E,morning,1,20,free,1
2-E,2-E,other,1,19,free,1
2-E  JPN6-VSD,2-E,afternoon,1,5,free,1
2-E  JPN6-VSD,2-E,morning,1,20,free,1
2-E  JPN6-VSD,2-E,other,1,14,free,1
201,201,afternoon,36,1505,busy,13
201,201,morning,39,2116,busy,14
201,201,other,21,752,busy,8
201 BSK-KSP,201 BSK-KSP,morning,1,13,free,1
201 BSK-KSP,201 BSK-KSP,other,1,11,free,1
201 BSK-KVASC,201,afternoon,1,34,normal,1
201 D06G-DMR,201 D06G-DMR,afternoon,1,9,free,1
201 D06G-DMR,201 D06G-DMR,morning,4,48,normal,1
201 D06G-DMR,201 D06G-DMR,other,3,27,free,1
201 SGH-BSK-SNR,201,morning,2,44,normal,1
201 SGH-BSK-SNR,201,other,2,48,normal,1
201 SGH-SRN,201 SGH-SRN,afternoon,1,22,free,1
201 SGH-SRN,201 SGH-SRN,other,1,22,free,1
201 SRN-VVKN,201 SRN-VVKN,afternoon,2,44,normal,1
201 SRN-VVKN,201 SRN-VVKN,morning,3,116,busy,2
201 SRN-VVKN,201 SRN-VVKN,other,1,40,normal,1
201 VVK-SNR,201 VVK-SNR,afternoon,4,137,busy,2
201 VVK-SNR,201 VVK-SNR,morning,6,180,busy,3
201 VVK-SNR,201 VVK-SNR,other,7,276,busy,3
201-G,201-G,afternoon,19,518,busy,7
201-G,201-G,morning,22,695,busy,8
201-G,201-G,other,10,239,busy,4
201-G BEMLG-ELC,201-G,morning,1,32,normal,1
201-G BSK-BNM,201-G,afternoon,1,5,free,1
201-G BSK-BNM,201-G,morning,2,53,normal,1
201-G D6G-BSK,201-G,afternoon,1,28,free,1
201-G D6G-BSK,201-G,other,1,2,free,1
201-G SGH-JBN,201-G,afternoon,2,20,free,1
201-G SGH-JBN,201-G,other,2,42,normal,1
201-M HMNRPC-ANKT,201-M,morning,1,12,free,1
201-M HMNRPC-ANKT,201-M,other,1,12,free,1
201-Q,201-Q,afternoon,11,221,busy,5
201-Q,201-Q,morning,17,349,busy,7
201-Q,201-Q,other,5,97,busy,3
201-Q D6G-CSB,201-Q,afternoon,12,227,busy,5
201-Q D6G-CSB,201-Q,morning,11,238,busy,5
201-Q D6G-CSB,201-Q,other,11,203,busy,5
201-R CSB-BEMLF,201-R,other,1,24,free,1
201-RB BSKTTMC-BTLQT,201-RB,afternoon,1,39,normal,1
201-V,201-V,afternoon,2,57,normal,1
201-V,201-V,morning,1,29,free,1
201-V CSB-RMN,201-V,afternoon,3,72,busy,2
201-V CSB-RMN,201-V,morning,2,53,normal,1
201-V CSB-RMN,201-V,other,1,1,free,1
210 PPLO-KMT,210 PPLO-KMT,afternoon,1,22,free,1
210 PPLO-KMT,210 PPLO-KMT,morning,3,69,busy,2
210-A,210-A,afternoon,3,46,normal,1
210-A,210-A,morning,5,109,busy,3
210-A,210-A,other,4,93,busy,2
210-AA,210-AA,afternoon,2,43,normal,1
210-AA,210-AA,morning,4,96,busy,2
210-AA,210-AA,other,3,55,normal,1
210-B KBS-KMT-CHG,210-B,afternoon,3,67,busy,2
210-B KBS-KMT-CHG,210-B,morning,1,16,free,1
210-B KBS-KMT-CHG,210-B,other,3,49,normal,1
210-B KBS-KMT-KTNR,210-B,morning,1,27,free,1
210-B KTNR-KMT-VSD,210-B,morning,1,24,free,1
210-CA,210-CA,afternoon,1,23,free,1
210-CA,210-CA,morning,4,114,busy,2
210-CA,210-CA,other,4,91,busy,2
210-CA KMT-GBL,210-CA,afternoon,1,24,free,1
210-CA KMT-GBL,210-CA,morning,1,23,free,1
210-D,210-D,afternoon,6,134,busy,3
210-D,210-D,morning,4,73,busy,2
210-E,210-E,afternoon,3,79,busy,2
210-E,210-E,morning,10,302,busy,4
210-E,210-E,other,7,200,busy,3
210-E KBS-CEC,210-E,morning,3,74,busy,2
210-E KBS-CEC,210-E,other,4,124,busy,2
210-FA,210-FA,morning,1,30,free,1
210-FA,210-FA,other,1,30,free,1
210-G,210-G,afternoon,13,387,busy,5
210-G,210-G,morning,9,262,busy,4
210-G,210-G,other,4,132,busy,2
210-G SBS-ISRLO-PPLO,210-G,afternoon,1,6,free,1
210-G SBS-ISRLO-PPLO,210-G,morning,2,76,busy,2
210-G SBS-ISRLO-PPLO,210-G,other,1,30,free,1
210-J,210-J,afternoon,1,20,free,1
210-J,210-J,morning,3,81,busy,2
210-J,210-J,other,4,89,busy,2
210-J VSD,210-J VSD,morning,1,29,free,1
210-KA,210-KA,afternoon,2,31,normal,1
210-KA,210-KA,other,3,65,busy,2
210-KA KBS-PPLO,210-KA,afternoon,1,25,free,1
210-KA KBS-PPLO,210-KA,morning,1,25,free,1
210-KA KBS-PPLO,210-KA,other,1,29,free,1
210-KN,210-KN,afternoon,1,9,free,1
210-KN,210-KN,morning,1,25,free,1
210-N,210-N,afternoon,76,1821,busy,26
210-N,210-N,morning,56,1363,busy,20
210-N,210-N,other,29,626,busy,11
210-N BEML5TS-KBS,210-N,afternoon,3,116,busy,2
210-N BEML5TS-KBS,210-N,morning,2,76,busy,2
210-NA,210-NA,afternoon,8,196,busy,4
210-NA,210-NA,morning,14,352,busy,6
210-NA,210-NA,other,8,216,busy,4
210-NA PPLO-KMK,210-NA,afternoon,1,12,free,1
210-NB,210-NB,afternoon,2,44,normal,1
210-NB,210-NB,other,1,21,free,1
210-ND KBS-PPLO,210-ND,afternoon,2,46,normal,1
210-ND KBS-PPLO,210-ND,morning,1,23,free,1
210-NG,210-NG,afternoon,6,101,busy,3
210-NG,210-NG,morning,1,13,free,1
210-NG,210-NG,other,1,18,free,1
210-NP,210-NP,afternoon,8,206,busy,4
210-NP,210-NP,morning,14,371,busy,6
210-NP,210-NP,other,9,207,busy,4
210-NP PPLO-KML-KBS,210-NP,afternoon,1,34,normal,1
210-NP PPLO-KMT,210-NP,afternoon,1,21,free,1
210-P,210-P,afternoon,52,1020,busy,18
210-P,210-P,morning,46,1030,busy,16
210-P,210-P,other,36,744,busy,13
210-P PPLO-CKLS,210-P,afternoon,1,8,free,1
210-P PPLO-CKLS,210-P,morning,6,42,normal,2
210-P PPLO-CKLS,210-P,other,6,48,normal,2
210-Q,210-Q,afternoon,1,26,free,1
210-Q,210-Q,morning,2,55,normal,1
210-R,210-R,afternoon,14,280,busy,6
210-R,210-R,morning,16,370,busy,6
210-R,210-R,other,7,150,busy,3
210-T,210-T,afternoon,3,73,busy,2
210-T,210-T,morning,2,63,busy,2
210-TA,210-TA,afternoon,12,209,busy,5
210-TA,210-TA,morning,13,242,busy,5
210-TA,210-TA,other,6,100,busy,3
210-TP,210-TP,afternoon,7,128,busy,3
210-TP,210-TP,morning,6,106,busy,3
210-TP,210-TP,other,1,20,free,1
210-U,210-U,afternoon,15,299,busy,6
210-U,210-U,morning,22,485,busy,8
210-U,210-U,other,8,142,busy,4
210-W,210-W,afternoon,3,92,busy,2
210-W,210-W,morning,5,174,busy,3
210-W,210-W,other,3,84,busy,2
210-WA,210-WA,afternoon,3,51,normal,1
210-WA,210-WA,morning,5,150,busy,3
210-WA,210-WA,other,4,114,busy,2
210-WA KBS-BEML5,210-WA,afternoon,2,81,busy,2
210-WA KBS-BEML5,210-WA,morning,1,39,normal,1
210-WA KBS-BEML5,210-WA,other,1,42,normal,1
210-X,210-X,afternoon,4,85,busy,2
210-X,210-X,morning,6,147,busy,3
210-X,210-X,other,4,85,busy,2
210-X BSK-CNDRN,210-X,afternoon,1,9,free,1
210-Z BSK-RMLO,210-Z,morning,2,16,free,1
211,211,afternoon,11,454,busy,5
211,211,morning,12,576,busy,5
211,211,other,2,72,busy,2
211 BSK-VLS,211 BSK-VLS,afternoon,2,48,normal,1
211 BSK-VLS,211 BSK-VLS,morning,3,69,busy,2
211 KBS-VLS,211 KBS-VLS,afternoon,3,114,busy,2
211 KBS-VLS,211 KBS-VLS,morning,2,70,busy,2
211 KGP-D44G,211 KGP-D44G,afternoon,1,35,normal,1
211-A VLS-BSK-KMT,211-A,afternoon,1,36,normal,1
211-A VLS-BSK-KMT,211-A,morning,1,34,normal,1
211-AA,211-AA,afternoon,6,84,busy,3
211-AA,211-AA,morning,5,82,busy,3
211-AA,211-AA,other,1,9,free,1
211-AC,211-AC,afternoon,8,221,busy,4
211-AC,211-AC,morning,6,156,busy,3
211-AC,211-AC,other,2,68,busy,2
211-AC BGM-BSK,211-AC,afternoon,1,32,normal,1
211-AC BGM-BSK,211-AC,morning,2,63,busy,2
211-AC BGM-BSK,211-AC,other,1,31,normal,1
211-AC BSK-CNV,211-AC,afternoon,2,72,busy,2
211-AC BSK-CNV,211-AC,morning,3,107,busy,2
211-AC BSK-CNV,211-AC,other,1,37,normal,1
211-AD,211-AD,afternoon,2,33,normal,1
211-B,211-B,morning,1,55,normal,1
211-BA,211-BA,afternoon,4,125,busy,2
211-BA,211-BA,morning,1,42,normal,1
211-BA,211-BA,other,2,76,busy,2
211-C,211-C,afternoon,3,132,busy,2
211-C,211-C,morning,5,222,busy,3
211-C,211-C,other,1,2,free,1
211-D,211-D,afternoon,1,57,normal,1
211-D,211-D,morning,2,66,busy,2
211-D,211-D,other,1,45,normal,1
211-DA,211-DA,afternoon,1,35,normal,1
211-DA,211-DA,morning,3,170,busy,2
211-DA,211-DA,other,1,23,free,1
211-E,211-E,afternoon,2,61,busy,2
211-E,211-E,morning,4,216,busy,2
211-E,211-E,other,2,61,busy,2
211-G,211-G,afternoon,2,115,busy,2
211-G,211-G,morning,3,131,busy,2
211-G,211-G,other,1,41,normal,1
211-H,211-H,afternoon,3,137,busy,2
211-H,211-H,morning,4,220,busy,2
211-H,211-H,other,2,83,busy,2
211-H KBS-MKD,211-H,morning,1,57,normal,1
211-J,211-J,afternoon,3,113,busy,2
211-J,211-J,morning,3,144,busy,2
211-J,211-J,other,1,31,normal,1
211-K,211-K,afternoon,2,58,normal,1
211-K,211-K,morning,2,111,busy,2
211-K,211-K,other,1,53,normal,1
211-L,211-L,afternoon,2,42,normal,1
211-L,211-L,morning,1,16,free,1
211-N,211-N,afternoon,3,169,busy,2
211-N,211-N,morning,3,213,busy,2
211-N,211-N,other,2,113,busy,2
211-NA,211-NA,morning,2,128,busy,2
211-NA KMT-BDD,211-NA,morning,1,73,busy,2
211-NA KMT-BDD,211-NA,other,2,149,busy,2
211-NB,211-NB,afternoon,9,274,busy,4
211-NB,211-NB,morning,3,116,busy,2
211-NB,211-NB,other,3,84,busy,2
211-P,211-P,morning,1,52,normal,1
211-P,211-P,other,1,54,normal,1
211-Q,211-Q,afternoon,2,114,busy,2
211-Q,211-Q,morning,3,170,busy,2
211-R,211-R,afternoon,1,64,busy,2
211-R,211-R,morning,3,166,busy,2
211-R,211-R,other,1,20,free,1
211-RA,211-RA,afternoon,1,5,free,1
211-RA,211-RA,morning,1,57,normal,1
211-S,211-S,afternoon,1,60,busy,2
211-S,211-S,morning,1,58,normal,1
211-T,211-T,afternoon,2,73,busy,2
211-T,211-T,morning,3,99,busy,2
211-UB JLO-KHCV,211-UB,morning,1,33,normal,1
211UB,211UB,afternoon,1,17,free,1
211UB,211UB,morning,1,17,free,1
212,212,afternoon,5,148,busy,3
212,212,morning,7,247,busy,3
212,212,other,8,278,busy,4
212-B,212-B,morning,1,33,normal,1
212-B,212-B,other,2,79,busy,2
212-B KMT-KRH,212-B,morning,1,56,normal,1
212-C,212-C,afternoon,3,79,busy,2
212-C,212-C,morning,5,160,busy,3
212-C,212-C,other,2,49,normal,1
212-C BEML5-SHVA,212-C,morning,1,18,free,1
212-C D44-NGP,212-C,afternoon,1,25,free,1
212-C D44-NGP,212-C,other,1,25,free,1
212-C KMT-SHVA,212-C,afternoon,1,35,normal,1
212-CA,212-CA,afternoon,3,48,normal,1
212-CA,212-CA,morning,4,86,busy,2
212-CA,212-CA,other,1,16,free,1
212-D,212-D,afternoon,1,39,normal,1
212-D,212-D,morning,3,134,busy,2
212-D,212-D,other,4,106,busy,2
212-M,212-M,afternoon,7,275,busy,3
212-M,212-M,morning,6,231,busy,3
212-M,212-M,other,4,131,busy,2
213,213,afternoon,1,55,normal,1
213,213,morning,2,116,busy,2
213,213,other,3,120,busy,2
213 GPO-VSD-LBWG-RGL,213,afternoon,1,8,free,1
213 GPO-VSD-LBWG-RGL,213,morning,1,61,busy,2
213 GPO-VSD-LBWG-RGL,213,other,1,54,normal,1
213-A,213-A,afternoon,1,12,free,1
213-A,213-A,morning,1,50,normal,1
213-A,213-A,other,4,164,busy,2
213-A KMT-NTG-GAT,213-A,afternoon,1,10,free,1
213-A KMT-NTG-GAT,213-A,morning,2,115,busy,2
213-A KMT-NTG-GAT,213-A,other,2,105,busy,2
213-B,213-B,afternoon,4,155,busy,2
213-B,213-B,morning,3,118,busy,2
213-B,213-B,other,4,182,busy,2
213-C,213-C,afternoon,1,48,normal,1
213-C,213-C,morning,4,168,busy,2
213-C,213-C,other,1,22,free,1
213-D,213-D,afternoon,1,69,busy,2
213-D,213-D,morning,1,66,busy,2
213-DA,213-DA,afternoon,1,68,busy,2
213-DA,213-DA,morning,3,198,busy,2
213-E KMT-TKD-BKP,213-E,afternoon,1,44,normal,1
213-E KMT-TKD-BKP,213-E,morning,3,170,busy,2
213-E KMT-TKD-BKP,213-E,other,4,143,busy,2
213-F,213-F,afternoon,1,60,busy,2
213-F,213-F,morning,3,178,busy,2
213-F,213-F,other,2,119,busy,2
213-FA,213-FA,morning,2,128,busy,2
213-FA,213-FA,other,2,128,busy,2
213-H,213-H,afternoon,1,62,busy,2
213-H,213-H,morning,4,249,busy,2
213-H,213-H,other,1,63,busy,2
213-H KBS-BHKVL,213-H,morning,1,69,busy,2
213-H KBS-BHKVL,213-H,other,1,66,busy,2
213-J,213-J,afternoon,1,12,free,1
213-J,213-J,morning,1,60,busy,2
213-J,213-J,other,3,170,busy,2
213-K,213-K,afternoon,9,421,busy,4
213-K,213-K,morning,3,163,busy,2
213-K,213-K,other,2,71,busy,2
213-K D34G-GAT,213-K,afternoon,1,37,normal,1
213-K D34G-GAT,213-K,morning,1,17,free,1
213-K KBS-GAT,213-K,morning,3,195,busy,2
213-K KBS-GAT,213-K,other,1,64,busy,2
213-M,213-M,afternoon,2,70,busy,2
213-M,213-M,morning,3,174,busy,2
213-M,213-M,other,2,80,busy,2
213-N,213-N,afternoon,1,63,busy,2
213-N,213-N,morning,2,117,busy,2
213-N,213-N,other,1,6,free,1
213-P,213-P,afternoon,2,88,busy,2
213-P,213-P,morning,2,133,busy,2
213-P,213-P,other,2,112,busy,2
213-Q HRH-MTRPR,213-Q,afternoon,1,10,free,1
213-Q HRH-MTRPR,213-Q,morning,1,10,free,1
213-QA,213-QA,afternoon,1,64,busy,2
213-QA,213-QA,morning,3,177,busy,2
213-QA,213-QA,other,2,77,busy,2
213-R,213-R,afternoon,2,74,busy,2
213-R,213-R,morning,3,163,busy,2
213-R,213-R,other,2,90,busy,2
213-S,213-S,afternoon,1,6,free,1
213-S,213-S,morning,2,106,busy,2
213-S,213-S,other,1,54,normal,1
213-V,213-V,afternoon,41,1789,busy,15
213-V,213-V,morning,31,1521,busy,11
213-V,213-V,other,22,968,busy,8
213-V HRHD-KKC-JSD,213-V,afternoon,1,60,busy,2
213-V HRHD-KKC-JSD,213-V,morning,1,3,free,1
213-V SGH-HRH,213-V,afternoon,1,41,normal,1
213-V SGH-HRH,213-V,morning,1,63,busy,2
213-V SGH-HRH,213-V,other,3,142,busy,2
213-V-HRH-D4,213-V-HRH-D4,morning,1,55,normal,1
213-V-HRH-D4,213-V-HRH-D4,other,1,9,free,1
213-VD,213-VD,afternoon,8,298,busy,4
213-VD,213-VD,morning,12,697,busy,5
213-VD,213-VD,other,7,374,busy,3
213-VD SGH-HRHD,213-VD,afternoon,4,263,busy,2
213-VD SGH-HRHD,213-VD,morning,1,5,free,1
213-VD SGH-HRHD,213-VD,other,1,67,busy,2
213-W,213-W,afternoon,2,130,busy,2
213-W,213-W,morning,2,149,busy,2
213-W,213-W,other,3,93,busy,2
213-WA,213-WA,afternoon,6,295,busy,3
213-WA,213-WA,morning,4,184,busy,2
213-WA,213-WA,other,1,33,normal,1
214,214,afternoon,1,27,free,1
214,214,morning,3,153,busy,2
214,214,other,1,24,free,1
214-A,214-A,morning,2,118,busy,2
214-A SBS-JBS-TTG,214-A,afternoon,2,122,busy,2
214-A SBS-JBS-TTG,214-A,morning,1,62,busy,2
214-B,214-B,morning,2,91,busy,2
214-B,214-B,other,1,16,free,1
214-B KBS-GGD,214-B,afternoon,1,57,normal,1
214-B KBS-GGD,214-B,morning,1,58,normal,1
214-B KBS-GGD,214-B,other,3,121,busy,2
